新聞標題,是否適宜觀看
桃園設交通違規告示牌 掃QR Code就能檢舉開罰,1
國防部召開軍保監理會 健全發展,1
〈房產〉北台灣北投及礁溪兩地溫泉宅成交放量 價格溫和走高,1
飽受中共壓力…蘋果中國區App Store 一口氣下架數千款遊戲App,1
中芯國際高層大地震 上交所發出「監管工作函」,1
新竹陳阿姨叫外送「備註一句話」 店員秒拿離職單：不想努力了,1
拜登派誰當駐中大使？傳迪士尼董事長出線機率高,1
蜜月期結束政府滿意度下滑 蘇貞昌：繼續檢討努力,1
印地安人隊走入歷史 運動場的原住民元素面臨存亡,1
女大生車禍亡「續參與課堂交作業」 教授一查見驚人真相,0
中職／周思齊破梗新隊長王威晨 「在他身上看到犧牲」,1
【私密照陰霾】「私人恩怨」拒和宥勝同台  黃子佼：祕密會帶到棺材裡,1
【勒褲帶度日】最美蜘蛛精自曝曾遭性侵　晚景悽涼流落街頭,0
蜜月期結束政府滿意度下滑 蘇貞昌：繼續檢討努力,1
喜閱節與台灣閱讀節今登場 新竹縣首輛行動圖書館上路,1
NBA／唐西奇回歸攻33分首繳大三元 技壓火箭哈登,1
中俄軍機闖入防空識別區 南韓戰機緊急升空攔截,1
教育大愛獎／出身傳統差點讀不了書 楊水粉遇恩師踏教育路35年,1
燈塔驗收涉弊遭廉政署搜索約談 航港局回應了,1
【數字看教育】學測、會考國文比「速讀」？ 1分鐘消化135字,1
國內新增7例境外移入 4名為俄羅斯芭蕾舞團成員,1
費玉清再捐100萬救浪浪　經紀人親曝「退休近況」,1
影／國道發生追撞僅6秒 民營拖吊車警笛神奇響起1分多鐘就出現,1
「關7天」見地獄班表 機師怒了,1
地獄交換禮物！ 男打開紙箱跳出「活體鬧鐘」,1
PLG／攻城獅推小獅童樂會 邀統一獅萊恩體驗一日球迷,1
比九層塔更搭鹹酥雞的配料？他推「1蔬菜」：完美中和油膩感,1
166.5萬死 美國副總統彭斯公開接種,1
一加展示第二款概念手機 將電致變色技術用於背蓋設計,1
亞太電信斥資25.59億元 採購5G網路設備,1
阿北騎Gogoro「怪怪的」好緊張　網見真相笑翻,1
終有電梯 雙溪建興托老中心長者好方便,1
工作產生矛盾就發狠 信託公司董座拿鎚子砸女總裁頭部,1
馬雲去哪兒？神隱逾2個月 引發輿論熱議,1
HomePod mini開箱實測 這3個搭配iPhone的新功能超酷炫,1
同源性99% 青島發現英國變種病毒,1
不是科幻小說! 驚傳神秘「X疾病」若大爆發致死率恐近9成,1
大家會想生小孩嗎？ 網友熱議卻幾乎一面倒回「不」,1
為牛隻大量死亡遭罰7.5萬　陽管處不服堅稱「沒有圈養」,1
爆本土案例「海軍臨時棄16桌菜」　餐廳老闆慘賠崩潰喊：雞都殺了,1
吃無菜單套餐花7k被嫌貴！主廚：有加點5款飲料、外帶2瓶酒,1
洗衣服見「這物品」氣炸 她問：如何把賤ㄤ處理掉,1
創新高！理專弊案 今年累計罰7200萬,1
水豚君貼心提供布袋蓮　溫暖「第一鱷模酷龍」,1
親授太空滑步還逗弄後輩　木村拓哉：我是調皮鬼,1
高雄暗夜火警 患思覺失調男子燒成焦屍,0
不畏美股重挫逾382點  台股創新高後持續上揚走勢,1
吃到飽拿炒飯被朋友嫌浪費 內行反曝「這一區」最地雷,1
醫揭日疫情慘況：許多人死在家,0
【姊妹共治新光金】吳家姊妹共治新光金　李紀珠降轉新光銀副董內幕,1
外資近5日賣超個股,1
康健人壽一天2.3元意外實支實付保障,1
好市多「新進玩具」遭瘋搶 他一次搬8箱遭網嗆：太誇張！,1
網紅空姐跨年與11男狂歡　「下體殘留體液亡」監視器畫面曝光,0
驚！台灣人赤腳跑完42公里台北馬拉松,1
蔡英文視察竹市國小營養午餐 強調政府重視食安議題,1
吸毒男星商演落魄畫面太心酸！　賣力表演慘遭無視,1
「萊豬合標準沒問題」 李遠哲：別把小問題當世界大戰打,1
意外撞見「神父交纏修女」慘死　28年懸案偵破竟掀出案外案,0
非洲豬瘟,1
轉型主持人、大秀「事業線」　前主播樂曝收入暴增,0
她「5年不給碰」老公偷吃人妻 網挺男方：是被妳逼的,0
MLB／推特曬名人堂選票 名記：今年沒人有資格入選,1
疑介入議員婚姻 俄國女舞者遭「近距離槍殺」…事發影片曝光,0
前成人片女星用口罩撿狗大便　事後「回收再利用」網批噁心,0
線院、串流同步上映 神力女超人創票房,1
少女心噴發！Mister Donut出7款草莓點心 還有乳牛款,1
40億點閱《女神降臨》有臉蛋天才　未演先轟動,1
貓奴們看過來！喵語翻譯App「MeowTalk」讓你一秒聽懂喵皇聖旨,1
【專訪全文】拒用身體交易　白靈破解好萊塢潛規則,1
北市府防疫優先　擬首度禁止迪化年貨大街試吃,1
封城與失蹤記者：一年後「武漢真相」國家級封殺,1
平安夜要聽東海大學百響平安鐘 實名制入校園,1
台中名醫偷吃人妻病患10年還拍婚紗照　元配氣炸求償百萬,0
乾洗手酒精液驗出不純物 食藥署要求回收9萬5千瓶,1
他盼明年3月赴日賞櫻 網提「關鍵理由」勸退：別作夢了,1
HBL／預賽初體驗沒開胡 輔仁教頭遺憾,1
內閣改組呼聲高 鄭文燦反問：接國防部長？,1
遊子歸鄉 洪根深美術館澎湖開幕,1
國5恐從31日塞到隔天凌晨　林佳龍：期待今年新措施更順暢,1
台灣十大集團洗牌 台塑恐被第一金控超車,1
北韓第8次全國代表大會 定於明年1月初召開,1
台中綠美圖採故宮級隔震器 109顆隔震成公安守護神,1
【試戴報告】日常佩戴的舒適型華麗！寶格麗Serpenti Seduttori為女錶而生的思維,1
張震狂減12公斤緝拿殺人犯　餐餐吞沙拉搞到上吐下瀉,1
《還願》宣布再上市引爆小粉紅反彈　6小時後迅速「被取消」,1
遭嫌送餐太慢爆口角　外送員亮槍恐嚇反遭刺傷,0
江啟臣轟：綠營用多數暴力輾壓民意,1
"「2,000元級千金股」部隊再擴大 外資上修信驊、祥碩目標價",1
大同經營權之爭 北院判解任林郭文艷,1
發聲挺港曾憂家人安危　前火箭隊總管無悔直言「心安理得」,1
他聖誕禮物送「木魚」怕被揍 網一看造型狂敲碗,1
塔羅：想結束單身？2021年你會在哪種場合遇到正緣,1
單親媽合謀大女兒將小女兒勒斃 法院審理真相令人鼻酸,0
開放美豬進入台美貿易新階段 蔡英文分享1986談判舊照,1
俄疑主謀駭客攻擊 美國安顧問砍海外行直奔華府,0
馬雲到哪去？ 英媒曝陸下令不准媒體報導,1
選手途中亂丟口罩 台北馬拉松成防疫破口?,1
蘇赴港口查萊豬 藍委：根本自導自演,1
李廷盛視導國防網安成果 厚植防護能量,1
年賺8.3億！9歲男童穩坐最高收入YouTuber寶座3年,1
遭點名下台 蘇貞昌：接受各界指正,1
春節年前防疫旅館住房緊張 北市民預訂從速,1
全線防萊豬進校園！高市學校嚴加把關 午餐照吃豬肉,1
【全文】《午夜天鵝》嚴選角色田調　反映跨性別者哀愁與渴望,1
南部乾旱這座水庫卻滿水位 1張地圖看到百年涵養價值,1
因為一場誤會 差27歲的民宿主人與房客2晚陷入熱戀閃婚,1
豬肉儀表板上線 蘇貞昌：資訊公開不會隱匿,1
國聯中區五隊一齊擺爛 形同職業運動之恥,1
新北台中高雄同步待轉大繞境 機車族爭用路平權,1
【工程師存股2】過去好未來不一定好　他蒐近60檔股每年向股市領百萬,1
屏東輕航機爆炸釀2死　警消搜救6小時驚見烈火焚身,0
拜登怒責川普政權「愛交接不交接」 拿美國國安開玩笑,1
降雨量不足 國際棉花價格逼近兩年多高點,1
雲科大學區住戶遭2猴騷擾 逮獲母猴當誘餌,1
聞女友胸口有口水味　男揪淫郎下藥性侵劣行,0
【快訊】行人闖入鐵軌遭撞飛慘死　台鐵內壢、桃園路線中斷,0
南非防疫耶誕新年海灘關閉 旅遊業陷危機,1
敬鵬搭上車用題材 盤中股價創32個月來新高,1
妳下車啦！陌生女隨機開門 霸副駕駛座,1
老闆要「卡哩卡哩」他買回慘遭開除 內行秒懂揭「真相」,1
「鴨王」洗劫3000萬元還稱被包養　美魔女痛批：不會包養「虱目魚頭」,1
腦癌女友想結婚！他自稱「渣男」考慮分手：沒信心兩人都幸福,1
台南廟宇牌樓抵不住強風倒塌 全線車道封鎖,1
體驗分娩超痛 Gino：媽太偉大,1
藏人投票選司政和議員 司政候選人多盼與台合作,1
台股資金行情可期 法人：震盪逢低可布局,1
新冠肺炎給出一拳重擊！全球航空業到底慘到什麼地步？,1
CES線上展1月11日登場 LG將推出紫外線消毒機器人,1
《鬼滅之刃》劇場版續集有譜？　日媒曝可能是「花街篇」,1
不被承認勝選 拜登：我對葛理漢感到失望,1
聞女友胸口有口水味　男揪淫郎下藥性侵劣行,0
「美麗錯誤」水管防結冰沒關 武陵農場凍成美景,1
挨告遭求償百萬 羅智強嗆：謝長廷為核食回台卻不出庭,1
中職／悍將投手先開工 郭俊麟、林柏佑、林逸翔報到,1
熊大、兔兔、莎莉變身超實用廚電 全聯點換購449元起,1
開船聽外國廣播出大事！北韓船長遭當眾處決 冠上「企圖顛覆黨罪」,1
被人類背叛的豆腐鯊 禁捕12年後資源量仍是謎,1
正妹生理期遇色鬼壓床　她下體遭硬物猛頂驚呼「想練碧血劍？」,0
國道1號台中路段2輛大貨車追撞 緊急救援駕駛脫困車體變形,1
英國與歐盟漁權問題分歧縮小,1
15日起1人1戶居檢違規最重罰百萬　陳時中：容易抓、別害人害己,1
【魯蛇靠炒股翻身3】利用早餐時間專心看盤　加班星人照樣創造高績效,1
清水地熱爆遊客車流回堵公路 快過年了地方「剉咧等」,1
【張嘉泓專欄—科學家們不該私藏的珍釀EP1】這個方程式太美了，不可能會錯！,1
全球競爭力報告：台灣以3競爭力 助疫情下經濟復甦,1
苗栗縣增購環保生力軍 地球更乾淨,1
根本MMA對戰！紐約皇后區屢傳居民遭暴走松鼠攻擊,1
艾瑪史東被目擊懷孕趴趴走　去年早透露有生子意願,1
110年勞保紓困貸款今開辦 最高可貸款10萬,1
香港大抓捕 民進黨：紅色恐怖 惡法治理,1
不是不痛就沒事！ 無痛性血尿可能潛藏膀胱腫瘤危機,1
軍人也變韭菜？　中國西藏前線配發「單兵自爆裝置」,1
Firefox瀏覽器版號84將支援蘋果M1處理器 啟動速度提升2.5倍,1
心理專家分析「鬼滅之刃」作者筆跡 大讚：性格認真如漫畫主角,1
不鼓勵信眾排隊　紫南宮首度取消跨年夜領錢母活動,1
新住民之子突破艱難上台大經濟系 殘障父親憂喜參半,1
「皇家神獸獅王公杯」撼世登場,1
桃園生質能中心預計110年底營運,1
單攻白姑大山失聯 山友排出「SOS」求救,1
爆4342億台幣天量！台股上沖下洗360點 萬五失守,1
穿起防塵衣 Selina宣告新身分,1
基隆湖海路現2米寬坑洞 警封鎖交管,1
【憨弟出賣割喉兄】直銷大亨人間蒸發　只因嘴砲一句話慘遭水電工虐殺,0
女生花半個月薪水買名牌包！ 他嫌「就是個logo」  網：很值得,1
賽事心得／台北馬拉松 跑齡一年的期末驗收,1
樹林高中學生段考中偷拿手機看答案 LINE群組內還分三類別,1
隔離超徹底！她洗澡忘脫口罩 釣苦主「盛咖哩餵口罩」,1
核磁共振影像導引全方位放射線治療儀啟用,1
騎士誤闖國道遭多車輾爆頭慘死　母悲慟指認：已多年失聯,1
關中天 朱立倫諷民主寒冬,1
男子自稱「軍火網紅」嗆「我就是槍多」　警攻堅查扣軍火庫般收藏,1
【司法高官捲醜聞2】紡織大亨人脈好到設喬事中心　法官兒當兵他幫喬爽缺,1
【國會大暴動】「動亂是你造成的」　歐巴馬發聲明狠批川普,1
民進黨：尊重公投創制權利 但不應成政治操弄工具,1
本土病例再現 潘文忠：將行文學校遵守防疫措施,1
命首長參加性平課,1
蘇澳漁船駕駛艙損毀10人生死不明 搜救人員擬登船確認,1
被嫌送餐太慢 熊貓外送員遭刺殺 警速逮人,0
達德商工家電服務隊出動 為長輩維修保養風扇,1
高中畢旅他想加導遊IG被拒 前領隊曝下場：觸禁忌,1
搭眭澔平主持《怪奇學園》　Makiyo大方邀羅志祥上節目,1
旭富製藥燒近3天終滅 鄭文燦慰問消防員,1
鳳鳴特區超夯！雙鐵交流道匯聚,1
國民黨臉書聲量排名掀「陰謀論」　公布時機觸敏感神經,1
宋慧喬離婚後重回金編懷抱！　 續《太陽的後裔》緣分接演新作,1
川普嫌紓困太少「每人發5.6萬」　民主黨：太棒了就這麼做,1
伊正金門軋戲帶妻女同行 一見鍾情方文琳笑場狂NG,1
華航「空中女王」退役巡禮超夯　開賣3分鐘名額全秒殺,1
輾壓百萬農民之怒？印度「硬上農業改革」矛盾利弊,1
境外生元旦起暫緩入境 陸生群組焦慮：千萬別離台,1
神祕民調流出？國民黨急發聲明,1
遭蔡郁璇怒批厚顏無恥　陳子璇「口不出惡言」暗示手握祕辛,1
張惠妹跨年演唱會和元旦連假結束  台東全縣消毒,1
沈玉琳避孕不結紮 老婆牢控槍管,0
新台幣驚見27字頭 王美花開經濟部藥單,1
攻略／存ETF「多1步驟」股利激增,1
梅開二度才6年 傳蔡琳玩完了,1
老公遭逮被問近況　陳艾琳坦言：不太好,1
79個碩博班招生掛蛋頂大也入列 大學主管這麼說,1
【憨弟出賣割喉兄3】警尋屍無頭緒　凶手憨弟聽關鍵字竟展驚人記憶,0
弟弟耶誕節缺錢喝酒　發怒砸掉姐姐雞排攤遭逮,1
柯瑞換髮型都贏 榜眼灌籃像字母哥,1
【早餐店性侵魔】女保險員慘死遭焚屍　法醫還原色魔變態行徑,0
建立信心 美副總統公開接種COVID-19疫苗,1
中國疫情又爆？這地區傳動工方艙醫院,1
KTV播防疫影片藏短裙妹 警直搗包廂當場逮脫衣陪酒,0
「中歐投資協定」將簽署！為何拜登、蔡英文都嚴陣以待？,1
51歲老闆拚事業壓力大 乾癬發作藏不住好困擾,1
NBA／唐西奇回歸攻33分首繳大三元 技壓火箭哈登,1
深夜12點大唱30分 住戶怒po網 竟歪樓贏讚賞,1
拍鳥誘誘班 解開保育和攝影之間剪不斷的結,1
北市跨年晚會照辦　黃珊珊：限8萬人實聯制入場,1
新變種病毒恐入侵亞洲！ 澳洲證實確診首例,1
反同批彩虹跑道「灌輸同運錯謬思想」　國小生：大人很無聊,1
HBL／晉級但慘輸 小綠綠罰跑25趟,1
男友與妹親密接吻當面換內衣褲　她嫁進門見真相秒崩潰,0
日本將對1都3縣發布緊急事態宣言　餐廳不配合防疫公布店名,1
台灣輸出上海個案是522　羅一鈞：出院復陽無傳染力,1
【燒腦懸案】全盲照常打球寫字...他被告詐保 民庭逆轉判領保險金不冤,1
【姊妹共治新光金5】女力出頭天　公主們接班當神力女超人,1
華郵踢爆：川普威脅喬州州務卿 要他找出11780張選票,1
中研院研究員吳漢忠 獲選美國國家發明家學院院士,1
男大生連2天尾隨妙齡女子　持手機偷拍裙底風光下場出爐,0
鴻海還能買嗎？三家喊百元的外資 都喊這三利多,1
「七十三變」澎湖跨年場拋藍彩帶祈福　楊麗音演失智母共感滿滿,1
安普新今年電競耳機出貨強勁 營運成長持續看俏,1
國民黨明年移師高雄辦青年營 江啟臣：未來要遍地開花,1
好市多熟食區這款「經典便宜食物」停賣 網一片崩潰：想再吃啊！,1
女兒在幼稚園被打成中度聽障　老師掌摑3耳光「監視器全壞光」,0
每天一杯手搖飲？「糖」讓你的健康危機四伏 罹患心血管疾病的死亡風險高,1
鎖國防疫無期限？教育部明開會研議境外生專案入境,1
變種新冠肺炎入侵台灣 病例數從2人增至4人,1
快新聞／新竹市試辦數位身分證喊卡 蘇貞昌：內政部沒有溝通好不必貿然推動,1
【國會大暴動】秩序恢復重啟點票　彭斯喊話暴徒：你們沒有贏,1
保全李宗瑞密室囚少女還誤導辦案　檢認「心理達病態」求刑11年,0
委託仲介賣房 交屋前發現百萬藝品收藏全被偷,1
英國與歐盟漁權問題分歧縮小,1
律師混不下去才轉任法官？  司法院反駁,1
考100分被逼補考 國中女陳屍池塘,0
討拍遭前女友騙走160萬元還被分手 男子卻反被起底黑歷史,1
不服潛規則 汪琦爆曾被罵到哭,1
高雄女確診揪9友吃火鍋　同桌「採檢」結果出爐,1
良心醫師不孤單 中市聲援蘇偉碩,1
醉漢光腳流血趴趴走 超商怪客讓他好抓狂,0
高捷紅線南延屏東  一半地下、一半高架,1
你累了嗎？打瞌睡撞電線桿 疲勞駕駛釀禍,1
【王功蚵汙染危機2】蚵農怒汙染物棄置1年無人清　環團憂「更恐怖的」埋地下,1
30.7萬死 法國總統馬克宏確診,1
台積電赴美設廠 投審會准了,1
「狗官」失言近1年零工作　范瑋琪再道歉：傷害了台灣同胞,1
草莓乾變化石！全黑還冒詭異白點 網傻眼：根本「發霉乾」,1
下台前無極限！川普特赦大放送、否決重要法案…在打什麼算盤？,1
確診男搭機發抖冒汗猝死 他幫CPR「沾到尿液」慘了,1
教育部公告110年留學獎學金甄試簡章 205名額明年開搶,1
【人妻衰遇狼密醫】人夫控妻子遭設局揉胸　色狼密醫藏豪宅看診直擊,0
撇心結？！總統1日2度同台蘇揆 讚努力打拚,1
譚傑龍等20球星遭拍不雅片還被恐嚇 刑事局逮2嫌偵訊中,0
好市多紫色貓砂一年份這樣買超划算！內行人：還送神秘禮物,1
疫情帶來新流行：數位詐欺激增35% 亂點簡訊連結小心淪為共犯,1
刺青男秀18長短槍 PO網嗆聲遭逮,1
LiSA自誇「我唱的〈炎〉超好聽」　跨海會1600名台粉約定寶島見,1
【數字看教育】學測、會考國文比「速讀」？ 1分鐘消化135字,1
純白斜屋頂打造歐風城堡 竹市高峰幼兒園明年落成,1
北市防疫旅館限住令 游淑慧：雙北生活圈別自掃門前雪,1
紐籍機師罔顧規定 同事怒炸求長榮開除,1
天搖地動變化 台灣十大集團洗牌,1
快訊／創新低！2020年新生兒僅16.4萬 較去年少8%,1
【搶鏡頭】陳綺貞、梁靜茹　「浪漫突進」很會嘴,1
大巨蛋停工增加成本！遠雄提告開庭要北市府國賠損失,1
大考中心慘遭負評刷爆 考生怨氣爆棚：害我上不了台大,1
新竹左投楊博巽6.1局12K 富邦U18飆速好投,1
鴻海去年12月營收7137.8億元 再創新高,1
中國和歐盟即將達成歷史性投資協定 解除投資限制開放市場,1
一次搞懂如何申請集中檢疫所　今晚8點開搶必看Q&A,1
拿下3座金馬男配獲獎無數　黃秋生：現在覺得都是虛榮,1
大考中心慘遭負評刷爆 考生怨氣爆棚：害我上不了台大,1
網紅空姐跨年與11男狂歡　「下體殘留體液亡」監視器畫面曝光,0
歐陽娜娜喊「年輕藝人壓力大」　網酸：撈金還賣慘太噁,1
「12頭身排球女神」莎賓娜報喜！　嫁185公分電商巨頭升格人妻,1
武漢肺炎全球最新情報1/4,1
控抄襲 瓊瑤聯手百人封殺名導,1
中國「10大醜建築」出爐！　網笑噴：前3名簡直不堪入目,1
性騷擾慣犯惡性不改　出獄後假扮攝影師猥褻少女,0
六都換電站數 首度超車加油站,1
防萊豬南市學校團膳皆換約 最重罰10萬並終止契約,1
馬斯克讚中國「比美國更關心人民」　王丹酸：去說給馬雲聽,1
他月收50k不敢組家庭 好奇喊：基層公務員怎麼成家？,1
企鵝妹自爆性愛史露餡　偷與乾爹「無套＋吃避孕藥」全曝光,0
台光電斥8.19億元收購美特殊板材廠 開發航太軍工市場,1
川普「電話施壓」喬州州務卿風暴 共和黨參議員選情無辜遭殃,1
病毒猖狂 洪蘭籲：找回同舟共濟的精神,1
小綠人轉圈圈...有人懷念msn嗎？網：「登登登」那是青春啊,1
戲院不只放電影！　日本電視動畫《妄想代理人》將在台攻占大銀幕,1
中職／助總上任盯球員態度 才能回饋球迷、對得起自己,1
殺破狼占星／2021金錢運排名出爐：水瓶名利雙收 白羊當心小人劫財,1
40趁早、50剛剛好！加入橘世代VIP 超前部署退休準備,1
教出中職教頭、第一指名  賴朝榮32年執教的堅持,1
民進黨台北市黨部主委領表登記截止 吳怡農一人參選,1
西門町現偷拍狼！噁男大生連日探裙底 至少4女受害,0
質疑宏碁、華碩、微星侵權 美商要求美貿委會展開調查,1
最希望52台播什麼？調查出爐,1
6都3警局長異動？侯友宜：不管人事如何新北都最優秀,1
私校退場輔導開後門 校產恐遭把持,1
阿妹跨年HIgh翻台東　與7萬歌迷同樂喊話「唱到日出」,1
台灣學界「水有多深」？台大如何避免校友搞派閥,1
寒流凍傷虱目魚 為何漁民不願申請補助他這麼說…,1
溫差大留意心臟疾病 醫：注意保暖、別亂進補,1
于正為抄襲「偶像」作品道歉　瓊瑤：終於等到遲來正義,1
萊豬24日立院表決 政院周一先找綠委來協調,1
肉品國產化只一張貼紙？蘇貞昌、鄭文燦：說這話沒水準,1
【影評】《生為女人》　性別、移民、時代與流行音樂,1
12港人案 家屬赴深圳尋求探視,1
最有意義的聖誕禮物 高師大、明陽中學看「盲人律師」,1
【戰心魔拚回歸】早出道女星完美主義者　自爆曾想拿刀殺媽媽,0
台股元月上漲機率七成 法人搶先卡位這些個股,1
黃秋生餐車前進墾丁吸人潮　KID獲信賴超感動直呼默契好,1
寶佳捐款惹議 教育部將與清大陳情學生座談,1
用錯資訊反萊豬 綠委痛批國民黨,1
